"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-10-2018 until 31-10-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/b/bridge_B1_EN","5,120,490"
"/d/r/ne/O","4,928,349"
"/d/r/sp/KH","4,536,613"
"/d/r/sp/OL","3,981,050"
"/d/r/ne/LU","3,809,125"
"/d/r/sp/HK","2,389,056"
"/c/boot","2,363,248"
"/d/r/sp/LV","2,256,283"
"/d/r/ne/HGK","2,073,696"
"/d/r/sp/13e","1,853,144"
"/d/r/ne/22d","1,795,898"
"/d/r/ne/22e","1,774,358"
"/d/r/ne/2dd","1,749,506"
"/d/r/ne/2df","1,744,827"
"/d/r/ne/2de","1,744,110"
"/d/r/ne/22c","1,741,472"
"/d/r/ne/2c4","1,705,623"
"/d/r/ne/22a","1,705,540"
"/d/r/ne/22b","1,660,520"
"/d/r/ne/KJ","1,486,594"
"/d/r/ne/2c3","1,478,942"
"/d/r/ne/H","1,390,106"
"/d/r/sp/M","1,356,122"
"/d/r/ne/U","1,162,883"
"/d/r/ne/35e","1,065,543"
"/d/r/ne/MO","1,023,879"
"/b/bridge_B2_EN","1,023,405"
"/d/r/ne/QR","1,012,288"
"/d/r/ne/23a","980,920"
"/d/r/sp/78","966,658"
"/d/r/sp/13f","965,901"
"/d/r/sp/21e","963,797"
"/d/r/we/HPG","956,548"
"/d/r/sp/17b","909,966"
"/d/r/we/HPO","897,405"
"/d/r/sp/21f","885,152"
"/d/r/sp/17a","851,784"
"/d/r/ne/353","850,881"
"/b/bridge_BN","848,134"
"/d/r/sp/140","833,936"
"/d/r/sp/254","815,828"
"/d/r/sp/1e3","788,541"
"/d/r/en/JQ","772,389"
"/d/r/ne/KI","758,447"
"/d/r/sp/MV","738,220"
"/d/r/ne/2e0","734,994"
"/d/r/sp/255","731,120"
"/c/tvIp_B1_EN","712,135"
"/d/r/sp/HKG","694,428"
"/d/r/sp/349","694,204"
"/r/si.rc","677,721"
"/d/r/ne/c","675,812"
"/d/r/ne/327","667,298"
"/d/r/sp/HJJ","666,343"
"/d/r/ne/201","661,744"
"/d/r/sp/256","659,000"
"/d/r/ne/a","653,576"
"/d/r/en/HO","635,310"
"/d/r/ne/b","629,137"
"/d/r/ne/28b","599,751"
"/d/r/ne/35b","599,575"
"/d/r/sp/e5","595,806"
"/d/r/sp/OH","586,936"
"/d/r/ne/301","573,876"
"/d/r/ne/302","563,380"
"/d/r/ne/200","550,497"
"/d/r/ne/d4","550,268"
"/d/r/sp/77","533,321"
"/d/r/sp/211","519,328"
"/d/r/ne/NR","515,556"
"/d/r/sp/MU","510,176"
"/d/r/ne/202","508,642"
"/d/r/ne/2f9","505,998"
"/d/r/sp/373","505,101"
"/d/r/ne/J","502,337"
"/b/bridge_B1_SC","501,661"
"/d/r/sp/44","500,244"
"/d/r/sp/HJT","493,553"
"/d/r/sp/43","491,784"
"/b/bridge_B1HD_EN","489,592"
"/d/r/sp/HGM","484,867"
"/tier1/rc/ne/NewsIndex","474,946"
"/d/r/sp/45","465,413"
"/d/r/ne/ca","461,875"
"/d/r/ne/14","451,750"
"/d/r/ne/16","448,713"
"/d/r/ne/15","447,992"
"/d/r/ne/2c0","439,871"
"/d/r/ne/2b8","434,460"
"/d/r/ne/2bf","433,133"
"/d/r/ne/d3","432,477"
"/r/min.rc","427,351"
"/d/r/sp/KL","426,166"
"/d/r/ne/HN","422,513"
"/d/r/ne/2c1","414,579"
"/d/r/ne/d2","412,424"
"/d/r/ne/cb","411,941"
"/d/r/sp/e1","411,658"
"/d/r/ne/cc","404,891"
"/d/r/en/TL","403,563"
"/d/r/ne/d1","403,155"
"/d/r/ne/239","393,910"
"/d/r/sp/e2","393,646"
"/d/r/sp/e4","380,369"
"/d/r/sp/e3","380,084"
"/d/r/sp/76","377,405"
"/tier1/rc/ne/NewsHeadlines","375,165"
"/d/r/ne/1b9","374,974"
"/d/r/sp/131","371,341"
"/d/r/sp/12f","365,839"
"/d/r/en/141","362,510"
"/tier1/rc/sp/SportIndex","357,633"
"/d/r/sp/19f","350,720"
"/d/r/en/4d","344,683"
"/d/r/ne/165","335,877"
"/d/r/ne/OS","327,960"
"/tv/rc/bridge_B1_EN","322,293"
"/d/r/ne/10e","320,847"
"/d/r/sp/1a0","317,565"
"/d/r/sp/HJK","315,606"
"/d/r/ne/PG","313,816"
"/d/r/en/HGN","313,550"
"/d/r/sp/2cb","309,297"
"/d/r/ne/HGL","308,777"
"/d/r/ne/35","303,224"
"/tier1/rc/sp/SportFootball","302,966"
"/d/r/sp/132","293,687"
"/d/r/tr/RP","284,525"
"/d/r/ne/1d9","276,839"
"/d/r/we/HPR","275,809"
"/d/r/ne/dd","275,238"
"/boot","273,835"
"/d/r/sp/HIV","273,729"
"/d/r/ne/db","271,147"
"/d/r/ne/IU","270,549"
"/d/r/ne/dc","268,855"
"/d/r/en/27a","267,108"
"/d/r/sp/1b0","264,718"
"/d/r/en/27d","263,255"
"/d/r/ne/1ba","262,333"
"/d/r/sp/JL","260,839"
"/b/bridge_B1_NI","260,002"
"/d/r/ne/1bb","259,725"
"/d/r/sp/JG","258,071"
"/d/r/en/27c","257,841"
"/d/r/en/27b","255,054"
"/d/r/ne/1bc","254,372"
"/d/r/svs/fm","254,368"
