"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-09-2018 until 30-09-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/b/bridge_B1_EN","4,982,317"
"/d/r/sp/KH","4,745,108"
"/d/r/ne/O","4,471,675"
"/d/r/sp/OL","3,802,074"
"/d/r/ne/LU","3,461,357"
"/c/boot","2,273,126"
"/d/r/sp/HK","2,258,291"
"/d/r/sp/LV","2,154,279"
"/d/r/ne/HGK","1,788,075"
"/d/r/sp/13e","1,745,392"
"/d/r/ne/22e","1,689,250"
"/d/r/ne/22d","1,617,239"
"/d/r/ne/2c4","1,596,878"
"/d/r/ne/2df","1,587,485"
"/d/r/ne/2dd","1,581,757"
"/d/r/ne/2de","1,579,314"
"/d/r/ne/22c","1,555,156"
"/d/r/ne/22b","1,505,676"
"/d/r/ne/22a","1,478,650"
"/d/r/ne/2c3","1,425,514"
"/d/r/ne/KJ","1,340,883"
"/d/r/sp/M","1,316,566"
"/d/r/ne/H","1,299,582"
"/d/r/ne/23a","1,063,409"
"/d/r/sp/KL","1,022,455"
"/b/bridge_B2_EN","1,020,817"
"/d/r/ne/35e","993,097"
"/d/r/ne/U","991,525"
"/d/r/sp/13f","967,568"
"/d/r/we/HPG","965,163"
"/d/r/ne/MO","951,715"
"/d/r/ne/QR","943,156"
"/d/r/sp/78","911,379"
"/d/r/we/HPO","907,288"
"/d/r/sp/21f","887,855"
"/d/r/sp/140","856,446"
"/d/r/sp/HIV","850,925"
"/d/r/sp/21e","844,488"
"/d/r/sp/17b","815,122"
"/d/r/ne/2e0","804,775"
"/b/bridge_BN","794,628"
"/d/r/ne/353","794,012"
"/d/r/sp/254","778,856"
"/d/r/sp/1e3","777,896"
"/d/r/sp/17a","758,620"
"/d/r/en/JQ","734,477"
"/d/r/sp/MV","695,599"
"/c/tvIp_B1_EN","694,902"
"/d/r/sp/255","692,457"
"/d/r/sp/HKG","656,978"
"/d/r/ne/KI","651,238"
"/r/si.rc","646,049"
"/d/r/en/HO","641,154"
"/d/r/sp/HJJ","633,932"
"/d/r/sp/256","617,050"
"/d/r/ne/c","604,063"
"/d/r/ne/327","596,293"
"/d/r/sp/349","577,361"
"/d/r/ne/a","575,790"
"/d/r/ne/35b","569,868"
"/d/r/ne/201","569,369"
"/d/r/sp/e5","565,939"
"/d/r/ne/b","548,050"
"/d/r/sp/77","531,506"
"/d/r/ne/28b","530,025"
"/d/r/sp/211","527,023"
"/d/r/ne/d4","518,798"
"/d/r/sp/OH","509,049"
"/d/r/ne/301","507,585"
"/d/r/ne/302","496,165"
"/d/r/sp/44","493,232"
"/b/bridge_B1HD_EN","479,197"
"/b/bridge_B1_SC","476,109"
"/d/r/sp/MU","475,878"
"/d/r/sp/43","471,576"
"/d/r/ne/200","468,607"
"/d/r/sp/HGM","454,379"
"/d/r/ne/239","453,212"
"/d/r/ne/202","450,432"
"/d/r/ne/2f9","450,295"
"/d/r/ne/ca","432,890"
"/d/r/sp/HJT","427,952"
"/d/r/sp/45","427,506"
"/tier1/rc/ne/NewsIndex","427,146"
"/d/r/ne/14","420,378"
"/r/min.rc","420,034"
"/d/r/ne/NR","418,625"
"/d/r/en/TL","413,184"
"/d/r/sp/373","412,389"
"/d/r/ne/16","411,942"
"/d/r/ne/15","410,962"
"/d/r/ne/2c0","405,431"
"/d/r/sp/76","405,425"
"/d/r/ne/2b8","404,073"
"/d/r/ne/2bf","403,707"
"/d/r/sp/131","399,562"
"/d/r/ne/d3","396,175"
"/d/r/ne/HN","389,830"
"/d/r/ne/J","388,039"
"/d/r/ne/2c1","381,072"
"/d/r/sp/e1","380,311"
"/d/r/ne/d1","380,236"
"/d/r/ne/cc","376,011"
"/d/r/ne/d2","372,678"
"/tier1/rc/sp/SportIndex","371,036"
"/d/r/en/141","367,820"
"/d/r/sp/e2","365,918"
"/d/r/sp/12f","365,288"
"/d/r/ne/cb","364,761"
"/d/r/en/4d","359,081"
"/d/r/sp/eb","357,831"
"/d/r/sp/ea","348,941"
"/d/r/sp/N","340,490"
"/tier1/rc/ne/NewsHeadlines","340,455"
"/d/r/sp/e3","339,321"
"/d/r/sp/e4","337,297"
"/d/r/ne/1b9","323,173"
"/d/r/sp/19f","319,209"
"/tv/rc/bridge_B1_EN","311,008"
"/d/r/ne/OS","310,328"
"/d/r/sp/HIU","308,295"
"/d/r/sp/HI","299,092"
"/d/r/en/HGN","294,745"
"/d/r/we/HPR","291,201"
"/tier1/rc/sp/SportFootball","289,263"
"/d/r/ne/PG","287,165"
"/d/r/sp/HJK","286,862"
"/d/r/sp/132","282,153"
"/d/r/sp/1a0","279,289"
"/d/r/ne/35","272,775"
"/d/r/ne/HGL","268,476"
"/d/r/svs/fm","267,202"
"/d/r/ne/165","265,367"
"/d/r/tr/RP","261,775"
"/boot","261,675"
"/d/r/en/27a","259,083"
"/d/r/sp/JG","256,603"
"/d/r/en/27c","252,753"
"/d/r/en/27b","251,983"
"/d/r/en/27d","251,313"
"/d/r/sp/33a","248,004"
"/d/r/ne/10e","245,497"
"/b/bridge_B1_NI","245,293"
"/d/r/en/142","244,283"
"/d/r/sp/HKJ","243,744"
"/d/r/sp/JL","243,358"
"/d/r/ne/dd","242,171"
"/d/r/en/TM","237,958"
